id,title,series,author,,genre,date_published,publisher,,,review_count,rating_count,rate
1492,Midnight Sun [2008 Draft],,Stephenie Meyer,,"Young Adult,Fantasy,Paranormal,Vampires,Romance,Fantasy,Paranormal,Fiction,Romance,Paranormal Romance,Fantasy,Supernatural,Fantasy,Urban Fantasy",August 28th 2008,NaN,,,"9,435","154,486",4
1493,"Gone (Wake, #3)","
        (Wake #3)
",Lisa McMann,,"Young Adult,Fantasy,Paranormal,Fantasy,Romance,Fiction,Fantasy,Supernatural,Mystery,Young Adult,Teen,Fantasy,Urban Fantasy",February 9th 2010,Simon  Schuster Books for Young Readers,,,"1,993","33,292",3.68
1494,Gulag: A History,,Anne Applebaum,,"History,Nonfiction,Cultural,Russia,History,Russian History,Politics,Historical,War,History,European History,History,World History",2003,Doubleday,,,779,"9,563",4.25
1495,Lincoln in the Bardo,,George Saunders,,"Fiction,Historical,Historical Fiction,Audiobook,Fantasy,Historical,Literary Fiction,Novels,Magical Realism,Literature",February 14th 2017,"Random House

            ,",,,"21,058","136,741",3.75
1496,Cutting for Stone,,Abraham   Verghese,,"Fiction,Historical,Historical Fiction,Cultural,Africa,Book Club,Health,Medicine,Eastern Africa,Ethiopia,Medical,Novels,Literary Fiction",February 3rd 2009,"Alfred A. Knopf

            ,",,,"26,273","353,595",4.29
1497,The Martian,"
        (The Martian #1)
",Andy Weir,,"Science Fiction,Fiction,Audiobook,Adventure,Space,Adult,Science Fiction Fantasy,Thriller,Humor",February 11th 2014,"Crown

            ,",,,"77,256","922,540",4.4
1498,The Goldfinch,,Donna Tartt,,"Fiction,Contemporary,Literary Fiction,Audiobook,Art,Adult,Novels,Mystery,Adult Fiction",October 22nd 2013,"Little, Brown

            ,",,,"65,459","796,580",3.92
1499,"Allegiant (Divergent, #3)","
        (Divergent #3)
",Veronica Roth,,"Young Adult,Science Fiction,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Teen,Apocalyptic,Post Apocalyptic",October 22nd 2013,HarperCollins Children's Book's,,,"67,301","916,659",3.62
1500,Unaccustomed Earth,,Jhumpa Lahiri,,"Fiction,Short Stories,Cultural,India,Contemporary,Literary Fiction,Asian Literature,Indian Literature,Literature,Adult,Book Club",2008,Knopf,,,"8,191","92,355",4.07
1501,"Clockwork Angel (The Infernal Devices, #1)","
        (The Infernal Devices #1)
",Cassandra Clare,,"Fantasy,Young Adult,Romance,Fantasy,Paranormal,Science Fiction,Steampunk,Historical,Historical Fiction,Fiction,Fantasy,Urban Fantasy,Paranormal,Vampires",August 31st 2010,Margaret K. McElderry Books,,,"35,597","754,323",4.3
1502,Code Name Verity,"
        (Code Name Verity #3)
",Elizabeth Wein,,"Historical,Historical Fiction,Young Adult,Fiction,Historical,War,War,World War II,Audiobook,Young Adult,Teen,Mystery",February 6th 2012,Egmont Press,,,"14,935","110,388",4
1503,"Animal, Vegetable, Miracle: A Year of Food Life",,"Barbara Kingsolver,Steven L. Hopp,Camille Kingsolver,Richard A. Houser",,"Nonfiction,Food and Drink,Food,Autobiography,Memoir,Horticulture,Gardening,Health,Environment,Food and Drink,Cooking,Audiobook,Environment,Nature",May 1st 2007,HarperCollins Publishers,,,"10,948","110,231",4.01
1504,"Eragon (The Inheritance Cycle, #1)","
        (The Inheritance Cycle #1)
",Christopher Paolini,,"Fantasy,Young Adult,Fiction,Fantasy,Dragons,Adventure,Fantasy,Magic,Fantasy,High Fantasy,Science Fiction Fantasy,Young Adult,Young Adult Fantasy",Apr-05,"Alfred A. Knopf

            ,",,,"23,649","1,556,804",3.92
1505,We Need to Talk About Kevin,,Lionel Shriver,,"Fiction,Contemporary,Thriller,Horror,Mystery,Crime,Drama,Psychology,Adult,Literary Fiction",July 3rd 2006,"Harper Perennial

            ,",,,"14,825","187,977",4.04
1506,Under the Banner of Heaven: A Story of Violent Faith,,Jon Krakauer,,"Nonfiction,Religion,History,Crime,True Crime,Mystery,Crime,Audiobook,Biography,Religion,Cults,Book Club",2004,"Pan MacMillan

            ,",,,"11,001","174,086",3.98
1507,The Immortal Life of Henrietta Lacks,,Rebecca Skloot,,"Nonfiction,Science,History,Biography,Health,Medicine,Audiobook,Medical,Book Club,Biography Memoir",February 2nd 2010,"Crown Publishing Group

            ,",,,"36,618","647,108",4.07
1508,"A Dance with Dragons (A Song of Ice and Fire, #5)","
        (A Song of Ice and Fire #5)
",George R.R. Martin,,"Fantasy,Fiction,Fantasy,Epic Fantasy,Science Fiction Fantasy,Fantasy,High Fantasy,Fantasy,Dragons,Adult,Adventure,Audiobook",July 12th 2011,Bantam,,,"22,838","594,952",4.31
1509,Coraline,,"Neil Gaiman,Dave McKean",,"Fantasy,Horror,Fiction,Young Adult,Childrens,Childrens,Middle Grade,Audiobook,Fantasy,Paranormal,Adventure",August 29th 2006,"William Morrow Paperbacks

            ,",,,"25,055","556,521",4.06
1510,The Outlands  (The Outlands Saga #1),"
        (The Outlands Saga #1)
",Tyler Edwards,,"Young Adult,Science Fiction,Dystopia,Science Fiction,Fantasy,Thriller,Adventure,Apocalyptic,Post Apocalyptic,Action,Fiction",December 14th 2020,iFlow Creative,,,147,690,4.16
1511,The Known World,,Edward P. Jones,,"Historical,Historical Fiction,Fiction,Cultural,African American,Historical,Literature,Novels,Literary Fiction,Book Club,Literature,American",August 29th 2006,"Amistad

            ,",,,"3,363","42,431",3.79
1512,The Five People You Meet in Heaven,"
        (The Five People You Meet in Heaven #1)
",Mitch Albom,,"Fiction,Inspirational,Contemporary,Fantasy,Classics,Adult,Spirituality,Adult Fiction,Philosophy",September 23rd 2003,"Hyperion

            ,",,,"22,458","624,195",3.95
1513,"Graceling (Graceling Realm, #1)","
        (Graceling Realm #1)
",Kristin Cashore,,"Fantasy,Young Adult,Romance,Fiction,Adventure,Young Adult,Young Adult Fantasy,Fantasy,Magic,Fantasy,High Fantasy,Fantasy,Paranormal",October 1st 2008,Harcourt,,,"23,802","427,679",4.06
1514,On Beauty,,Zadie Smith,,"Fiction,Contemporary,Novels,Literary Fiction,European Literature,British Literature,Literature,Adult Fiction,Family,Race",August 29th 2006,"Penguin Books

            ,",,,"5,099","79,297",3.73
1515,"World Without End (Kingsbridge, #2)","
        (Kingsbridge #2)
",Ken Follett,,"Historical,Historical Fiction,Fiction,Historical,Historical,Medieval,European Literature,British Literature,Audiobook,Novels,Romance,Fantasy",October 4th 2007,Dutton,,,"12,078","223,795",4.26
1516,Year of Wonders,,Geraldine Brooks,,"Historical,Historical Fiction,Fiction,Historical,European Literature,British Literature,Book Club,Adult Fiction,Adult,Audiobook,Novels",April 28th 2002,"Penguin Books

            ,",,,"10,897","153,545",3.98
1517,"The Last Olympian (Percy Jackson and the Olympians, #5)","
        (Percy Jackson and the Olympians #5)
",Rick Riordan,,"Fantasy,Young Adult,Fantasy,Mythology,Fiction,Childrens,Middle Grade,Adventure,Mythology,Greek Mythology,Childrens,Fantasy,Urban Fantasy",May 5th 2009,Disney ● Hyperion Books,,,"27,627","776,688",4.5
1518,"Aegis Rising (The Aegis League, #1)","
        (The Aegis League #1)
",S.S. Segran,,"Fantasy,Young Adult,Adventure,Fiction,Business,Amazon,Science Fiction",November 15th 2013,"INKmagination Books

            ,",,,98,"5,282",3.52
1519,"The Maze Runner (The Maze Runner, #1)","
        (The Maze Runner #1)
",James Dashner,,"Young Adult,Science Fiction,Dystopia,Science Fiction,Fiction,Fantasy,Adventure,Apocalyptic,Post Apocalyptic,Mystery,Young Adult,Teen",October 6th 2009,Delacorte Press,,,"58,632","1,219,030",4.03
1520,"The Sea of Monsters (Percy Jackson and the Olympians, #2)","
        (Percy Jackson and the Olympians #2)
",Rick Riordan,,"Fantasy,Young Adult,Fantasy,Mythology,Fiction,Childrens,Middle Grade,Adventure,Childrens,Mythology,Greek Mythology,Fantasy,Urban Fantasy",April 1st 2006,Hyperion Books,,,"31,810","875,415",4.24
1521,"The Millennium Trilogy (Millennium Trilogy, #1-3)",,"Stieg Larsson,Reg Keeland",,"Fiction,Mystery,Thriller,Mystery,Crime,Suspense,Novels,Contemporary,Thriller,Mystery Thriller,Adult",May 25th 2010,"Knopf Doubleday Publishing Group

            ,",,,"1,839","54,231",4.41
1522,Freedom,,Jonathan Franzen,,"Fiction,Contemporary,Novels,Literary Fiction,Literature,Literature,American,Adult Fiction,Family,Audiobook",August 31st 2010,"Farrar, Straus and Giroux

            ,",,,"14,091","159,890",3.76
1523,"A Feast for Crows (A Song of Ice and Fire, #4)","
        (A Song of Ice and Fire #4)
",George R.R. Martin,,"Fantasy,Fiction,Fantasy,Epic Fantasy,Science Fiction Fantasy,Fantasy,High Fantasy,Adult,Adventure,Fantasy,Dragons,Audiobook",2011,"Bantam Books

            ,",,,"22,441","668,193",4.14
1524,The Elegance of the Hedgehog,,"Muriel Barbery,Alison Anderson",,"Fiction,Cultural,France,Contemporary,Philosophy,Literary Fiction,Book Club,Novels,Literature,Adult Fiction",September 2nd 2008,"Europa Editions

            ,",,,"18,968","164,739",3.78
1525,Thirteen Reasons Why,,Jay Asher,,"Young Adult,Contemporary,Fiction,Realistic Fiction,Mystery,Health,Mental Health,Young Adult,Teen,Audiobook,Romance",December 27th 2016,"Razorbill

            ,",,,"53,300","851,218",3.88
1526,World War Z: An Oral History of the Zombie War,"
        (World War Z)
",Max Brooks,,"Horror,Fiction,Horror,Zombies,Science Fiction,Fantasy,Apocalyptic,Post Apocalyptic,Science Fiction,Dystopia,Audiobook,Science Fiction,Apocalyptic",September 12th 2006,Crown,,,"26,973","478,675",4.01
1527,Shantaram,"
        (Shantaram #1)
",Gregory David Roberts,,"Fiction,Cultural,India,Travel,Adventure,Contemporary,Novels,Historical,Historical Fiction,Cultural,Asia,Mystery,Crime",2004,"Scribe

            ,",,,"14,382","190,723",4.23
1528,"Shadow Kiss (Vampire Academy, #3)","
        (Vampire Academy #3)
",Richelle Mead,,"Young Adult,Paranormal,Vampires,Fantasy,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Romance,Paranormal Romance,Fantasy,Supernatural,Fiction",November 13th 2008,Razorbill,,,"11,841","352,951",4.32
1529,Seabiscuit: An American Legend,,Laura Hillenbrand,,"Nonfiction,History,Biography,Sports,Sports,Animals,Animals,Horses,Historical,Biography Memoir,North American Hi...,American History",July 1st 2003,"Ballantine Books

            ,",,,"4,584","160,894",4.18
1530,"Frostbite (Vampire Academy, #2)","
        (Vampire Academy #2)
",Richelle Mead,,"Young Adult,Fantasy,Paranormal,Vampires,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Romance,Paranormal Romance,Fantasy,Supernatural,Fiction",April 10th 2008,"Razorbill

            ,",,,"11,930","339,321",4.24
1531,"The Titan's Curse (Percy Jackson and the Olympians, #3)","
        (Percy Jackson and the Olympians #3)
","Rick Riordan,Cẩm Chi",,"Fantasy,Young Adult,Fantasy,Mythology,Fiction,Childrens,Middle Grade,Adventure,Childrens,Mythology,Greek Mythology,Fantasy,Urban Fantasy",May 5th 2007,Puffin Books,,,"25,105","802,063",4.34
1532,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)","
        (Percy Jackson and the Olympians #4)
",Rick Riordan,,"Fantasy,Young Adult,Fantasy,Mythology,Fiction,Childrens,Middle Grade,Adventure,Mythology,Greek Mythology,Childrens,Fantasy,Urban Fantasy",March 6th 2008,Hyperion Books for Children,,,"22,954","850,124",4.39
1533,2666,"
        (2666 #1-5)
",Roberto Bolaño,,"Fiction,Literature,Novels,European Literature,Spanish Literature,Literary Fiction,Cultural,Latin American,Mystery,Contemporary,Classics",October 1st 2004,"Anagrama

            ,",,,"4,121","38,224",4.13
1534,Paper Towns,,John Green,,"Young Adult,Contemporary,Fiction,Romance,Mystery,Realistic Fiction,Young Adult,Coming Of Age,Young Adult,Teen,Adventure",September 22nd 2009,"Speak

            ,",,,"50,712","1,076,416",3.76
1535,"A Great and Terrible Beauty (Gemma Doyle, #1)","
        (Gemma Doyle #1)
",Libba Bray,,"Fantasy,Young Adult,Historical,Historical Fiction,Fiction,Historical,Fantasy,Paranormal,Romance,Fantasy,Magic,Young Adult,Teen",December 9th 2003,Simon and Schuster,,,"10,082","228,496",3.78
1536,The Last Lecture,,"Randy Pausch,Jeffrey Zaslow",,"Nonfiction,Autobiography,Memoir,Biography,Self Help,Inspirational,Philosophy,Biography,Autobiography,Biography Memoir,Audiobook",April 8th 2008,Hachette Books,,,"17,939","327,897",4.23
1537,"The Lost Symbol (Robert Langdon, #3)","
        (Robert Langdon #3)
",Dan Brown,,"Fiction,Mystery,Thriller,Thriller,Mystery Thriller,Suspense,Adventure,Historical,Historical Fiction,Mystery,Crime,Novels",September 15th 2009,Doubleday,,,"28,075","566,052",3.73
1538,"Throne of Glass (Throne of Glass, #1)","
        (Throne of Glass #1)
",Sarah J. Maas,,"Fantasy,Young Adult,Romance,Fiction,Fantasy,Magic,Young Adult,Young Adult Fantasy,Fantasy,High Fantasy,New Adult,Adventure",August 7th 2012,"Bloomsbury USA Children's

            ,",,,"52,244","762,011",4.18
1539,Under the Dome,,Stephen King,,"Horror,Fiction,Science Fiction,Thriller,Fantasy,Mystery,Suspense,Audiobook,Adult",November 10th 2009,Scribner,,,"15,474","279,652",3.9
1540,"City of Lost Souls (The Mortal Instruments, #5)","
        (The Mortal Instruments #5)
",Cassandra Clare,,"Fantasy,Young Adult,Romance,Fantasy,Paranormal,Fantasy,Urban Fantasy,Paranormal,Vampires,Fiction,Paranormal,Angels,Fantasy,Supernatural",May 8th 2012,Margaret K. McElderry Books,,,"21,705","478,332",4.23
1541,Americanah,,"Chimamanda Ngozi Adichie,Jashar Awan",,"Fiction,Cultural,Africa,Contemporary,Feminism,Literary Fiction,Race,Western Africa,Nigeria,Novels,Romance",May 14th 2013,Alfred A. Knopf,,,"25,946","313,279",4.3
1542,The Hour I First Believed,,Wally Lamb,,"Fiction,Historical,Historical Fiction,Contemporary,Adult Fiction,Adult,Literary Fiction,Drama,Novels,Book Club",November 11th 2008,"Harper

            ,",,,"6,607","62,351",3.8
1543,"Clockwork Princess (The Infernal Devices, #3)","
        (The Infernal Devices #3)
",Cassandra Clare,,"Fantasy,Young Adult,Romance,Fantasy,Paranormal,Science Fiction,Steampunk,Historical,Historical Fiction,Fantasy,Urban Fantasy,Fiction,Paranormal,Angels",September 5th 2013,"Walker Books Ltd

            ,",,,"33,970","395,013",4.54
1544,The Lacuna,,Barbara Kingsolver,,"Fiction,Historical,Historical Fiction,Historical,Novels,Literary Fiction,Art,Book Club,Literature,Unfinished",November 3rd 2009,Harper,,,"7,976","69,832",3.76
1545,The Little Friend,,Donna Tartt,,"Fiction,Mystery,Literary Fiction,Contemporary,Mystery,Crime,Novels,Literature,Thriller,Literature,American",October 28th 2003,"Vintage

            ,",,,"5,272","58,302",3.47
1546,"Moloka'i (Moloka'i, #1)","
        (Moloka'i #1)
",Alan Brennert,,"Historical,Historical Fiction,Fiction,Historical,Book Club,Adult,Adult Fiction,Audiobook,Young Adult,Coming Of Age,Novels",October 4th 2004,"St. Martin's Griffin

            ,",,,"10,508","119,982",4.15
1547,"Cinder (The Lunar Chronicles, #1)","
        (The Lunar Chronicles #1)
",Marissa Meyer,,"Young Adult,Fantasy,Science Fiction,Romance,Science Fiction,Dystopia,Retellings,Fiction,Fantasy,Fairy Tales,Audiobook",2012,Feiwel & Friends,,,"59,529","783,766",4.13
1548,"The Summoning (Darkest Powers, #1)","
        (Darkest Powers #1)
",Kelley Armstrong,,"Young Adult,Fantasy,Fantasy,Paranormal,Fantasy,Urban Fantasy,Fantasy,Supernatural,Romance,Fantasy,Magic,Paranormal,Ghosts,Shapeshifters,Werewolves",July 1st 2008,HarperCollins,,,"6,389","172,424",4
1549,The Sense of an Ending,,Julian Barnes,,"Fiction,Contemporary,Literary Fiction,Literature,Novels,European Literature,British Literature,Book Club,Adult Fiction,Audiobook",August 4th 2011,Jonathan Cape,,,"16,895","165,019",3.73
1550,"The Past (VanWest, #1)","
        (VanWest #1)
",Kenneth   Thomas,,"Science Fiction,Time Travel,Science Fiction,Science Fiction,Dystopia,Fiction,Historical,Historical Fiction,Science Fiction,Cyberpunk,Action,European Literature,British Literature,Young Adult",May 20th 2020,NaN,,,270,"10,840",4.25
1551,"Possession of My Soul (The Three Immortal Blades, #1)","
        (The Three Immortal Blades #1)
",Kia Carrington-Russell,,"Fantasy,Romance,Young Adult,Fantasy,Paranormal,Drama,Novels,Mystery,Contemporary",May 15th 2014,"Crystal Publishing

            ,",,,57,"5,103",3.51
1552,"Fallen (Fallen, #1)","
        (Fallen #1)
",Lauren Kate,,"Young Adult,Fantasy,Romance,Fantasy,Paranormal,Paranormal,Angels,Romance,Paranormal Romance,Fiction,Fantasy,Supernatural,Fantasy,Urban Fantasy",December 8th 2009,Delacorte Press,,,"20,465","543,058",3.72
1553,"Shiver (The Wolves of Mercy Falls, #1)","
        (The Wolves of Mercy Falls #1)
",Maggie Stiefvater,,"Young Adult,Fantasy,Romance,Fantasy,Paranormal,Shapeshifters,Werewolves,Fiction,Romance,Paranormal Romance,Fantasy,Supernatural,Fantasy,Urban Fantasy",August 1st 2009,Scholastic Press,,,"23,566","465,249",3.76
1554,"The Sisterhood of the Traveling Pants (Sisterhood, #1)","
        (Sisterhood #1)
",Ann Brashares,,"Young Adult,Fiction,Womens Fiction,Chick Lit,Contemporary,Romance,Young Adult,Teen,Realistic Fiction,Childrens,Young Adult,Coming Of Age",September 11th 2001,Delacorte Press,,,"7,696","659,795",3.81
1555,A Long Way Gone: Memoirs of a Boy Soldier,,Ishmael Beah,,"Nonfiction,Autobiography,Memoir,Cultural,Africa,Biography,War,History,Biography Memoir,Biography,Autobiography,Academic,School",February 13th 2007,Sarah Crichton Books,,,"11,178","181,767",4.12
1556,"P.S. I Love You (P.S. I Love You, #1)","
        (P.S. I Love You #1)
",Cecelia Ahern,,"Romance,Womens Fiction,Chick Lit,Fiction,Contemporary,Adult,Romance,Contemporary Romance,Drama,Love,Adult Fiction",January 5th 2005,"Hachette Books

            ,",,,"8,981","359,281",4.02
1557,Vernon God Little,,D.B.C. Pierre,,"Fiction,Contemporary,Novels,Literature,Humor,Literary Fiction,Young Adult,Coming Of Age,Literature,American,Humor,Comedy",2004,"Faber and Faber

            ,",,,"1,440","33,652",3.58
1558,The Gargoyle,,Andrew Davidson,,"Fiction,Fantasy,Romance,Historical,Historical Fiction,Historical,Contemporary,Gothic,Adult,Magical Realism",September 15th 2008,"Doubleday Books

            ,",,,"5,662","49,598",3.92
1559,Deception Point,,Dan Brown,,"Fiction,Thriller,Mystery,Suspense,Thriller,Mystery Thriller,Mystery,Crime,Adventure,Novels,Science Fiction",Dec-02,"Pocket Books

            ,",,,"9,980","631,915",3.73
1560,Still Alice,,Lisa Genova,,"Fiction,Contemporary,Psychology,Book Club,Adult Fiction,Adult,Audiobook,Medical,Realistic Fiction",July 6th 2007,iUniverse,,,"28,425","316,750",4.3
1561,Bring Up the Bodies,"
        (Thomas Cromwell #2)
",Hilary Mantel,,"Historical,Historical Fiction,Fiction,Historical,European Literature,British Literature,Literary Fiction,Audiobook,Literature,English History,Tudor Period,Novels",May 8th 2012,"Henry Holt & Company, Inc.",,,"8,171","92,108",4.2
1562,"Eldest (The Inheritance Cycle, #2)","
        (The Inheritance Cycle #2)
",Christopher Paolini,,"Fantasy,Young Adult,Fiction,Fantasy,Dragons,Adventure,Fantasy,Magic,Fantasy,High Fantasy,Fantasy,Epic Fantasy,Science Fiction Fantasy",March 13th 2007,"Knopf Books for Young Readers

            ,",,,"10,152","394,750",3.99
1563,Dewey: The Small-Town Library Cat Who Touched the World,"
        (Dewey Readmore)
","Vicki Myron,Bret Witter",,"Nonfiction,Animals,Autobiography,Memoir,Animals,Cats,Biography,Adult,Biography Memoir,Writing,Books About Books,Contemporary",September 24th 2008,Grand Central Publishing,,,"6,261","63,985",3.81
1564,March,,Geraldine Brooks,,"Historical,Historical Fiction,Fiction,Military History,Civil War,Historical,War,Book Club,Literary Fiction,Adult Fiction,Adult",January 31st 2006,"Penguin

            ,",,,"6,180","63,443",3.74
1565,"In the Woods (Dublin Murder Squad, #1)","
        (Dublin Murder Squad #1)
",Tana French,,"Mystery,Fiction,Thriller,Mystery,Crime,Thriller,Mystery Thriller,Cultural,Ireland,Suspense,Adult,Audiobook",May 17th 2007,Viking,,,"23,920","353,790",3.77
1566,The Crimson Petal and the White,,Michel Faber,,"Historical,Historical Fiction,Fiction,Historical,Historical,Victorian,Romance,European Literature,British Literature,Literary Fiction,Literature,19th Century,Adult",September 11th 2003,"Canongate Books

            ,",,,"3,317","44,566",3.84
1567,"Beautiful Creatures (Caster Chronicles, #1)","
        (Caster Chronicles #1)
","Kami Garcia,Margaret Stohl",,"Young Adult,Fantasy,Fantasy,Paranormal,Romance,Fiction,Fantasy,Magic,Fantasy,Supernatural,Paranormal,Witches,Fantasy,Urban Fantasy",December 1st 2009,"Little, Brown and Company",,,"22,351","578,086",3.76
1568,"The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared (The Hundred-Year-Old Man, #1)","
        (The Hundred-Year-Old Man #1)
","Jonas Jonasson,Rod Bradbury",,"Fiction,Humor,Contemporary,Historical,Historical Fiction,Audiobook,Adventure,Humor,Comedy,Cultural,Sweden,Novels",July 12th 2012,"Hesperus Press

            ,",,,"24,750","242,345",3.81
1569,"I Am Number Four (Lorien Legacies, #1)","
        (Lorien Legacies #1)
",Pittacus Lore,,"Young Adult,Fantasy,Science Fiction,Fiction,Science Fiction,Aliens,Romance,Fantasy,Paranormal,Adventure,Young Adult,Teen",August 3rd 2010,HarperCollins,,,"16,161","333,134",3.93
1570,"Dead to the World (Sookie Stackhouse, #4)","
        (Sookie Stackhouse #4)
",Charlaine Harris,,"Fantasy,Paranormal,Vampires,Fantasy,Paranormal,Fantasy,Urban Fantasy,Romance,Fiction,Mystery,Romance,Paranormal Romance,Fantasy,Supernatural",April 1st 2005,"Ace Books

            ,",,,"5,862","260,683",4.1
1571,Then We Came to the End,,Joshua Ferris,,"Fiction,Humor,Contemporary,Novels,Literary Fiction,Adult,Book Club,Adult Fiction,Unfinished",March 1st 2007,"Little, Brown and Company

            ,",,,"4,835","36,785",3.46
1572,Out Stealing Horses,,"Per Petterson,Anne Born",,"Fiction,Historical,Historical Fiction,European Literature,Scandinavian Literature,Novels,Book Club,Literary Fiction,Contemporary,Literature,Young Adult,Coming Of Age",April 17th 2007,"Graywolf Press

            ,",,,"4,359","34,856",3.77
1573,City of Thieves,,David Benioff,,"Historical,Historical Fiction,Fiction,War,Cultural,Russia,Historical,War,World War II,Audiobook,Adventure,Adult",June 1st 2008,"Viking Books

            ,",,,"12,191","134,990",4.24
1574,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)","
        (Daughter of Smoke & Bone #1)
",Laini Taylor,,"Fantasy,Young Adult,Romance,Fantasy,Paranormal,Paranormal,Angels,Fantasy,Urban Fantasy,Fiction,Fantasy,Magic,Young Adult,Young Adult Fantasy",September 27th 2011,"Little, Brown Books for Young Readers",,,"31,109","351,843",3.98
1575,I Am America,,"Stephen Colbert,Richard Dahm,Paul Dinello,Allison Silverman,Michael Brumm,Eric Drydale,Rob Dubbin,Glenn Eichler",,"Nonfiction,Humor,Humor,Comedy,Politics,Audiobook,Biography,Writing,Essays,Literature,American,Adult",October 9th 2007,Grand Central Publishing,,,"3,495","84,510",3.87
1576,"The Fiery Cross (Outlander, #5)","
        (Outlander #5)
","Diana Gabaldon,Janos Farkas",,"Historical,Historical Fiction,Romance,Fiction,Fantasy,Science Fiction,Time Travel,Historical,Romance,Historical Romance,Audiobook,Adult",August 30th 2005,"Dell

            ,",,,"7,782","194,235",4.21
1577,The Thousand Autumns of Jacob de Zoet,,David Mitchell,,"Fiction,Historical,Historical Fiction,Cultural,Japan,Historical,Literary Fiction,Novels,Cultural,Asia,Literature,Contemporary",June 29th 2010,"Random House

            ,",,,"6,247","65,933",3.96
1578,"The Son of Neptune (The Heroes of Olympus, #2)","
        (The Heroes of Olympus #2)
",Rick Riordan,,"Fantasy,Young Adult,Fantasy,Mythology,Fiction,Childrens,Middle Grade,Adventure,Mythology,Greek Mythology,Childrens,Fantasy,Urban Fantasy",October 4th 2011,Disney-Hyperion Books,,,"17,714","476,408",4.41
1579,The Song of Achilles,,"Madeline Miller,David Thorpe",,"Historical,Historical Fiction,Fantasy,Fiction,Fantasy,Mythology,Romance,LGBT,Historical,Retellings,LGBT,Queer",September 20th 2011,Bloomsbury Publishing,,,"66,210","544,080",4.41
1580,"The Way of Kings (The Stormlight Archive, #1)","
        (The Stormlight Archive #1)
",Brandon Sanderson,,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,High Fantasy,Audiobook,Adult,Science Fiction Fantasy,Fantasy,Magic,Epic",August 31st 2010,Tor Books,,,"24,031","366,021",4.6
1581,Crossing the Seas: A Diary of My Thoughts,,Yuehai Xiao,,Nonfiction,October 8th 2012,Authorhouse,,,29,"4,907",3.48
1582,Shanghai Girls (Shanghai Girls #1),"
        (Shanghai Girls #1)
",Lisa See,,"Historical,Historical Fiction,Fiction,Cultural,China,Historical,Cultural,Asia,Literature,Asian Literature,Adult Fiction,Adult,Audiobook",May 26th 2009,Random House,,,"9,950","152,020",3.88
1583,Assassination Vacation,,Sarah Vowell,,"Nonfiction,History,Humor,Travel,Writing,Essays,Audiobook,Autobiography,Memoir,North American Hi...,American History,Politics",2006,"Simon  Schuster

            ,",,,"3,907","50,424",3.88
1584,In Defense of Food: An Eater's Manifesto,,Michael Pollan,,"Nonfiction,Food and Drink,Food,Health,Science,Health,Nutrition,Audiobook,Food and Drink,Cooking,Environment,Food and Drink,Foodie",January 1st 2008,Penguin Press,,,"8,096","112,939",4.05
1585,"The Mark of Athena (The Heroes of Olympus, #3)","
        (The Heroes of Olympus #3)
",Rick Riordan,,"Fantasy,Young Adult,Fantasy,Mythology,Fiction,Childrens,Middle Grade,Adventure,Mythology,Greek Mythology,Childrens,Fantasy,Urban Fantasy",October 2nd 2012,Disney-Hyperion Books,,,"18,730","498,601",4.44
1586,Eleanor & Park,,Rainbow Rowell,,"Young Adult,Romance,Contemporary,Fiction,Realistic Fiction,Audiobook,Young Adult,Teen,Young Adult,Coming Of Age,Young Adult,Young Adult Contemporary",February 26th 2013,"St. Martin's Press

            ,",,,"70,637","984,334",4
1587,Austerlitz,,"W.G. Sebald,Anthea Bell",,"Fiction,Historical,Historical Fiction,European Literature,German Literature,Cultural,Germany,Novels,Literature,World War II,Holocaust,War,Historical",July 4th 2002,"Penguin Books Ltd

            ,",,,"1,526","20,864",3.91
1588,The Birth of Venus,,Sarah Dunant,,"Historical,Historical Fiction,Fiction,Historical,Cultural,Italy,Art,Romance,Adult Fiction,Adult,Book Club",November 30th 2004,"Random House

            ,",,,"3,338","99,221",3.79
1589,A Little Life,,Hanya Yanagihara,,"Fiction,Contemporary,LGBT,Literary Fiction,Adult,Novels,LGBT,Queer,Adult Fiction,Audiobook",March 10th 2015,Doubleday,,,"44,190","298,133",4.31
1590,Collapse: How Societies Choose to Fail or Succeed,"
        (Civilizations Rise and Fall #2)
",Jared Diamond,,"History,Nonfiction,Science,Anthropology,Sociology,Politics,Environment,Economics,Culture,Society",December 27th 2005,"Penguin Books Ltd. (London)

            ,",,,"3,446","70,400",3.9
1591,1776,,David McCullough,,"History,Nonfiction,North American Hi...,American History,Historical,Military History,American Revolution,War,Audiobook,American Revolution,American Revolutionary War,Politics",July 4th 2006,"Simon  Schuster

            ,",,,"7,649","210,656",4.05
