id,title,series,author,,genre,date_published,publisher,,,review_count,rating_count,rate
46,"Uglies (Uglies, #1)","
        (Uglies  #1)
",Scott Westerfeld,,"Young Adult,Science Fiction,Dystopia,Science Fiction,Fiction,Fantasy,Romance,Young Adult,Teen,Adventure,Apocalyptic,Post Apocalyptic",February 8th 2005,Simon Pulse,,,"24,332","605,944",3.85
47,"Hush, Hush (Hush, Hush, #1)","
        (Hush, Hush #1)
",Becca Fitzpatrick,,"Young Adult,Fantasy,Romance,Fantasy,Paranormal,Paranormal,Angels,Romance,Paranormal Romance,Fiction,Fantasy,Supernatural,Fantasy,Urban Fantasy",October 13th 2009,Simon & Schuster BFYR,,,"26,574","638,584",3.94
48,A Visit from the Goon Squad,,Jennifer Egan,,"Fiction,Contemporary,Music,Short Stories,Literary Fiction,Novels,Adult Fiction,Literature,Book Club",June 8th 2010,Knopf,,,"18,457","188,247",3.67
49,"City of Fallen Angels (The Mortal Instruments, #4)","
        (The Mortal Instruments #4)
",Cassandra Clare,,"Fantasy,Young Adult,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Paranormal,Vampires,Fiction,Paranormal,Angels,Fantasy,Supernatural",April 5th 2011,Margaret K. McElderry Books,,,"24,684","540,043",4.09
50,"Inkheart (Inkworld, #1)","
        (Inkworld #1)
","Cornelia Funke,Anthea Bell",,"Fantasy,Young Adult,Fiction,Childrens,Middle Grade,Childrens,Adventure,Fantasy,Magic,Writing,Books About Books,Young Adult,Young Adult Fantasy",May 1st 2005,"Scholastic Paperbacks

            ,",,,"12,718","404,306",3.89
51,"Blood Promise (Vampire Academy, #4)","
        (Vampire Academy #4)
",Richelle Mead,,"Young Adult,Paranormal,Vampires,Fantasy,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Romance,Paranormal Romance,Fantasy,Supernatural,Fiction",August 25th 2009,Razorbill,,,"10,193","302,482",4.29
52,Peace Like a River,,Leif Enger,,"Fiction,Historical,Historical Fiction,Book Club,Novels,Adult Fiction,Literary Fiction,Adult,Young Adult,Coming Of Age,Contemporary",August 7th 2002,"Atlantic Monthly Press

            ,",,,"8,203","89,088",3.96
53,"Dead Until Dark (Sookie Stackhouse, #1)","
        (Sookie Stackhouse #1)
",Charlaine Harris,,"Fantasy,Paranormal,Vampires,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Fiction,Mystery,Romance,Paranormal Romance,Fantasy,Supernatural",May 1st 2001,Ace Books,,,"18,755","522,756",3.96
54,Let the Great World Spin,,Colum McCann,,"Fiction,Historical,Historical Fiction,New York,Book Club,Novels,Contemporary,Literary Fiction,Literature,Historical",June 23rd 2009,"Random House

            ,",,,"9,328","104,597",3.92
55,The Yiddish Policemen's Union,,Michael Chabon,,"Fiction,Mystery,Science Fiction,Science Fiction,Alternate History,Mystery,Crime,Literature,Jewish,Fantasy,Novels,Literature",May 1st 2007,HarperCollins,,,"7,161","80,785",3.71
56,Nickel and Dimed: On (Not) Getting by in America,,Barbara Ehrenreich,,"Nonfiction,Sociology,Politics,Economics,Autobiography,Memoir,Social Movements,Social Justice,Social Issues,Poverty,Academic,School,Social Issues",May 1st 2002,"Owl Books (Henry Holt)

            ,",,,"6,692","188,134",3.64
57,Running with Scissors,,Augusten Burroughs,,"Autobiography,Memoir,Nonfiction,Biography,Humor,Biography Memoir,Biography,Autobiography,LGBT,Psychology,Mental Health,Mental Illness",June 1st 2003,"Picador USA

            ,",,,"12,883","375,157",3.73
58,1Q84 (1Q84 #1-3),"
        (1Q84 #1-3)
","Haruki Murakami,Jay Rubin,Philip Gabriel",,"Fiction,Fantasy,Magical Realism,Cultural,Japan,Science Fiction,Asian Literature,Japanese Literature,Contemporary,Literature,Novels",October 25th 2011,"Knopf

            ,",,,"19,418","230,918",3.92
